594466;PLP 337/2013;Projeto de Lei Complementar;PLP;337;2013;2013-10-02 16:30:55.000;140;180;Altera a Lei Complementar nº 101, de 4 de maio de 2000 - Lei de Responsabilidade Fiscal , para proibir o contingenciamento de dotações orçamentárias destinadas às medidas socioeducativas.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Iriny Lopes;ES;PT        ;134;1;2013-10-09 10:55:00.000;Apense-se à(ao) PLP-8/2007.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;927;Aguardando Apensação;CFT       ;CFT       ;1;341058;PLP 8/2007;74162
594061;PLP 336/2013;Projeto de Lei Complementar;PLP;336;2013;2013-10-01 15:59:19.000;140;180;Estende aos serviços de representação comercial a faculdade de optar pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte - Supersimples.;;21;Urgência art. 155 RICD;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Duarte Nogueira;SP;PSDB      ;128;1;2013-10-09 10:55:00.000;Apense-se à(ao) PLP-482/2009.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Urgência art. 155 RICD;927;Urgência art. 155 RICD;CFT       ;Diversos  ;2;434942;PLP 482/2009;141385
594003;PLP 335/2013;Projeto de Lei Complementar;PLP;335;2013;2013-10-01 12:31:25.000;140;180;Altera a Lei Complementar nº 101, de 4 de maio de 2000, para estabelecer limites à antecipação de lucros e dividendos de empresas cujo controle seja detido pelo Poder Público.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Mendonça Filho;PE;DEM       ;202;1;2013-10-09 10:55:00.000;Às Comissões de Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;915;Aguardando Parecer;CFT       ;CFT       ;1;0;;74428
593996;PLP 334/2013;Projeto de Lei Complementar;PLP;334;2013;2013-10-01 12:01:00.000;140;180;Altera o art. 97 da Lei nº 5.172, de 25 de outubro de 1966 - Código Tributário Nacional.;Limita o valor das multas em 50% (cinquenta por cento) do valor do tributo devido.;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Alceu Moreira;RS;PMDB      ;111;1;2013-10-11 15:37:00.000;Apense-se ao PLP-219/2012.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;950;Retirado pelo Autor;MESA      ;MESA      ;1;0;;160559
593907;PLP 333/2013;Projeto de Lei Complementar;PLP;333;2013;2013-09-30 10:46:47.000;140;180;Altera o inciso III do art. 473 da Consolidação das Leis do Trabalho, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para alterar os parâmetros da licença paternidade e estender os mesmo benefícios aos casos de adoção.;;99;.;99;.;PLEN      ;PLENÁRIO;o;Afonso Florence;BA;PT        ;134;1;NULL;;905;Aguardando Despacho do Presidente da Câmara dos Deputados;SECAP(SGM);SECAP(SGM);1;0;;160508
593567;PLP 332/2013;Projeto de Lei Complementar;PLP;332;2013;2013-09-25 16:40:52.000;140;180;Altera a Lei Complementar nº 110, de 29 de junho de 2001, extinguindo o fim da multa de 10% do Fundo de Garantia do Tempo de Serviço (FGTS) cobrada de empregadores em demissões sem justa causa.;;22;Urgência art. 64 CF;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Otavio Leite;RJ;PSDB      ;128;1;2013-09-30 15:07:00.000;Apense-se à(ao) PLP-51/2007.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Urgência art. 64 CF;925;Urgência art. 64 CF;CCJC      ;Diversos  ;2;349531;PLP 51/2007;141515
592781;PLP 331/2013;Projeto de Lei Complementar;PLP;331;2013;2013-09-19 11:49:58.000;140;180;Altera a Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional) para prever na distribuição de receitas tributárias, destinação de recursos para pagamento de tratamento de dependentes químicos.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Luiz Fernando Machado;SP;PSDB      ;128;1;2013-10-03 14:09:00.000;Às Comissões de Seguridade Social e Família; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;907;Aguardando Designação de Relator;CSSF      ;CSSF      ;1;0;;160662
592563;PLP 330/2013;Projeto de Lei Complementar;PLP;330;2013;2013-09-18 18:29:00.000;140;180;Extingue a contribuição social de que trata o art. 1º da Lei Complementar nº 110, de 29 de junho de 2001.;;22;Urgência art. 64 CF;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Eduardo Sciarra;PR;PSD       ;127;1;2013-09-25 16:21:00.000;Apense-se à(ao) PLP-51/2007.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Urgência art. 64 CF;925;Urgência art. 64 CF;CCJC      ;Diversos  ;2;349531;PLP 51/2007;74382
592432;PLP 329/2013;Projeto de Lei Complementar;PLP;329;2013;2013-09-18 15:26:10.000;140;180;Revoga o inciso V do art. 17 da Lei Complementar nº 123, de 14 de dezembro de 2006, para permitir que as microempresas e as empresas de pequeno porte em débito com o INSS ou com as Fazendas Públicas optem pelo Simples Nacional.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Carlos Bezerra;MT;PMDB      ;111;1;2013-09-25 16:21:00.000;Apense-se à(ao) PLP-60/2011.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;PLEN      ;PLEN      ;1;503977;PLP 60/2011;141401
592068;PLP 328/2013;Projeto de Lei Complementar;PLP;328;2013;2013-09-17 15:08:00.000;140;180;Altera a Lei Complementar nº 110, de 29 de junho de 2001, que institui contribuições sociais, autoriza créditos de complementos de atualização monetária em contas vinculadas do Fundo de Garantia do Tempo de Serviço - FGTS, e dá outras providências.;;22;Urgência art. 64 CF;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Poder Executivo;NULL;NULL;NULL;1;2013-10-16 13:48:00.000;Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Urgência art. 64 CF;903;Urgência art. 64 CF;CFT       ;Diversos  ;2;0;;NULL
591715;PLP 327/2013;Projeto de Lei Complementar;PLP;327;2013;2013-09-11 18:59:12.000;140;180;Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, que "Dispõe sobre o sigilo das operações de instituições financeiras e dá outras providências", para excetuar do sigilo bancário as operações financeiras realizadas com a utilização de recursos públicos.

;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Rosane Ferreira;PR;PV        ;140;1;2013-09-18 16:46:00.000;Apense-se à(ao) PLP-297/2013.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;CFT       ;CFT       ;1;584754;PLP 297/2013;160614
591685;PLP 326/2013;Projeto de Lei Complementar;PLP;326;2013;2013-09-11 18:02:03.000;140;180;Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que "institui o Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte - Simples Nacional", para incluir os condomínios edilícios no Simples Nacional.;;21;Urgência art. 155 RICD;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Sandro Alex;PR;PPS       ;118;1;2013-09-25 16:21:00.000;Apense-se à(ao) PLP-133/2012.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;927;Urgência art. 155 RICD;CFT       ;Diversos  ;2;534487;PLP 133/2012;160621
591288;PLP 325/2013;Projeto de Lei Complementar;PLP;325;2013;2013-09-10 17:58:25.000;140;180;Altera redação do art. 18 da Lei Complementar nº 101, de 4 de maio de 2000.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Valmir Assunção;BA;PT        ;134;1;2013-09-23 15:54:00.000;Apense-se à(ao) PLP-164/2012.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;CFT       ;CFT       ;1;541855;PLP 164/2012;160610
590230;PLP 324/2013;Projeto de Lei Complementar;PLP;324;2013;2013-09-03 17:03:00.000;140;180;Institui benefícios fiscais para pessoas que aufiram receita bruta mensal igual ou inferior a R$ 180.000,00.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Roberto Britto;BA;PP        ;115;1;2013-09-09 09:11:00.000;Às Comissões de Desenvolvimento Econômico, Indústria e Comércio; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;915;Aguardando Parecer;CDEIC     ;CDEIC     ;1;0;;141529
590215;PLP 323/2013;Projeto de Lei Complementar;PLP;323;2013;2013-09-03 16:30:22.000;140;180;Dispõe sobre a concessão de aposentadoria especial ao radialista. ;Será concedida após 25 (vinte e cinco) anos de contribuição.;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Cleber Verde;MA;PRB       ;199;1;2013-09-09 09:11:00.000;Apense-se à(ao) PLP-60/1999.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;CFT       ;CFT       ;1;21402;PLP 60/1999;141408
589979;PLP 322/2013;Projeto de Lei Complementar;PLP;322;2013;2013-08-30 15:47:00.000;140;180;Dispõe sobre a criação da Região Integrada de Desenvolvimento do Cariri-Araripe (Rica).;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Senado Federal - Inácio Arruda;CE;PCdoB     ;NULL;1;2013-09-09 13:41:00.000;Às Comissões de Desenvolvimento Urbano; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD). Apense-se a este o PLP-178/2001.Por oportuno, esclareço que, em virtude de o PLP 178-2001 já ter sido apreciado pela CDU, CFT (mérito e art. 54) e pela CCJC, os projetos restarão prontos para pauta em Plenário.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;924;Pronta para Pauta;PLEN      ;PLEN      ;1;0;;NULL
589775;PLP 321/2013 => PRL 1 CLP => SUG 89/2013 CLP;Projeto de Lei Complementar;PLP;321;2013;2013-08-29 10:28:48.000;140;180;Altera dispositivos da Lei Complementar nº 141, de 13 de janeiro de 2012, e dá outras providências.;Aplicação pela União de montante igual ou superior a dez por cento de suas receitas correntes brutas, em ações e serviços públicos de saúde.;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Comissão de Legislação Participativa;NULL;NULL;NULL;1;2013-09-09 09:11:00.000;Apense-se à(ao) PLP-123/2012.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;CSSF      ;CSSF      ;1;533729;PLP 123/2012;NULL
589705;PLP 320/2013;Projeto de Lei Complementar;PLP;320;2013;2013-08-28 19:01:53.000;140;180;Altera as leis nº 8.212 e nº 8.213, ambas de 24 de julho de 1991, para incluir, no rol de abarcados pela aposentadoria especial, o taxista, dispondo igualmente do percentual de sua contribuição previdenciária.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Dr. Carlos Alberto;RJ;PMN       ;112;1;2013-09-09 09:11:00.000;Apense-se ao PLP-335/2002.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;CFT       ;CFT       ;1;90042;PLP 335/2002;118384
589566;PLP 319/2013;Projeto de Lei Complementar;PLP;319;2013;2013-08-28 14:36:38.000;140;180;Altera o inciso III, do art. 19 da Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências.;Aumenta para 66% o limite para os gastos com pessoal dos Municípios.;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Paulo Magalhães;BA;PSD       ;127;1;2013-09-09 09:11:00.000;Apense-se à(ao) PLP-389/2008.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;CCP       ;CCP       ;1;405112;PLP 389/2008;74574
589459;PLP 318/2013;Projeto de Lei Complementar;PLP;318;2013;2013-08-28 10:19:24.000;140;180;Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que "institui o Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte - Simples Nacional, para incluir os condomínios residenciais".;;21;Urgência art. 155 RICD;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Izalci;DF;PSDB      ;128;1;2013-09-09 13:34:00.000;Apense-se à(ao) PLP-133/2012.Regime de Tramitação: Urgência art. 155 RICD;927;Urgência art. 155 RICD;CFT       ;Diversos  ;2;534487;PLP 133/2012;4931
588857;PLP 317/2013;Projeto de Lei Complementar;PLP;317;2013;2013-08-22 15:09:53.000;140;180;Altera a Lei Complementar nº 123, de 14 de dezembro de 2006.;Autoriza as micro e pequenas empresas que tenham débitos tributários a recolher impostos e contribuições na forma do Simples Nacional e o ingresso de empresas cujas atividades estejam suspensas.;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Marcos Montes;MG;PSD       ;127;1;2013-09-02 00:00:00.000;Apense-se à(ao) PLP-25/2007.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;PLEN      ;PLEN      ;1;344866;PLP 25/2007;141500
588801;PLP 316/2013;Projeto de Lei Complementar;PLP;316;2013;2013-08-22 11:40:00.000;140;180;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo hipótese de relevante interesse público da União para fins de demarcação de Terras Indígenas.;;20;Prioridade;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;o;Marco Maia;RS;PT        ;134;1;2013-09-02 16:12:00.000;Apense-se à(ao) PLP-260/1990.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade;925;Tramitando em Conjunto;CCP       ;CCP       ;1;21623;PLP 260/1990;133373
