453774;PLC 186/2009 MERCOSUL;Projeto de Lei da Câmara dos Deputados (SF);PLC;186;2009;2009-10-05 10:59:00.000;465;5973;Dispõe sobre a criação da Universidade federal da Integração Latino-Americana-UNILA e dá outras providências.;NULL;14;Ordinária;6;Proposição Sujeita à Apreciação Interna nas Comissões;MERCOSUL  ;Representação Brasileira no Parlamento do Mercosul.;o;Poder Executivo;NULL;NULL;NULL;1;NULL;;NULL;NULL;NULL;NULL;0;0;;NULL
413099;PLC 159/2008 MERCOSUL;Projeto de Lei da Câmara dos Deputados (SF);PLC;159;2008;2008-10-22 10:43:00.000;465;5973;Declara Sant'Ana do Livramento, Estado do Rio Grande do Sul, cidade símbolo da integração brasileira com os países membros do Mercosul.;NULL;14;Ordinária;6;Proposição Sujeita à Apreciação Interna nas Comissões;MERCOSUL  ;Representação Brasileira no Parlamento do Mercosul.;o;Afonso Hamm;RS;PP        ;115;1;NULL;;NULL;NULL;NULL;NULL;0;0;;136811
388310;PLC 27/2008 MERCOSUL;Projeto de Lei da Câmara dos Deputados (SF);PLC;27;2008;2008-03-27 11:59:00.000;465;5973;Institui o Regime de Tributação Unificada - RTU na importação, por via terrestre, de mercadorias procedentes do Paraguai; e altera as Leis nºs 10.637, de 30 de dezembro de 2002, e 10.833, de 29 de dezembro de 2003. (Projeto do Sacoleiro);NULL;14;Ordinária;6;Proposição Sujeita à Apreciação Interna nas Comissões;MERCOSUL  ;Representação Brasileira no Parlamento do Mercosul.;o;Poder Executivo;NULL;NULL;NULL;1;NULL;;NULL;NULL;NULL;NULL;0;0;;NULL
124861;PLC 89/2000 MERCOSUL;Projeto de Lei da Câmara dos Deputados (SF);PLC;89;2000;2000-11-06 14:46:00.000;465;5973;Altera dispositivo da Lei nº 7.678, de 8 de novembro de 1988, que dispõe sobre a produção do vinho e derivados da uva e do vinho, e dá outras providências.;NULL;14;Ordinária;6;Proposição Sujeita à Apreciação Interna nas Comissões;MERCOSUL  ;Representação Brasileira no Parlamento do Mercosul.;o;Poder Executivo;NULL;NULL;NULL;1;NULL;;NULL;NULL;NULL;NULL;0;0;;NULL
