parent_id, locale, category_position, category_title, category_description, category_color, category_image, category_image_thumb, category_visible, category_trusted
"976","en_US","0","ABELARDO CAMARINHA","ABELARDO CAMARINHA é DEPUTADO FEDERAL do PSB pela Unidade da Federação SP","618624",NULL,NULL,"1","0"
"976","en_US","0","ABELARDO LUPION","ABELARDO LUPION é DEPUTADO FEDERAL do DEM pela Unidade da Federação PR","364624",NULL,NULL,"1","0"
"976","en_US","0","ACELINO POPÓ","ACELINO POPÓ é DEPUTADO FEDERAL do PRB pela Unidade da Federação BA","522624","category_2494_1371590770.png","category_2494_1371590770_16x16.png","1","0"
"976","en_US","0","ADEMIR CAMILO","ADEMIR CAMILO é DEPUTADO FEDERAL do PSD pela Unidade da Federação MG","793624",NULL,NULL,"1","0"
"976","en_US","0","ADRIAN","ADRIAN é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RJ","455624",NULL,NULL,"1","0"
"976","en_US","0","AELTON FREITAS","AELTON FREITAS é DEPUTADO FEDERAL do PR pela Unidade da Federação MG","687624",NULL,NULL,"1","0"
"976","en_US","0","AFONSO FLORENCE","AFONSO FLORENCE é DEPUTADO FEDERAL do PT pela Unidade da Federação BA","341624",NULL,NULL,"1","0"
"976","en_US","0","AFONSO HAMM","AFONSO HAMM é DEPUTADO FEDERAL do PP pela Unidade da Federação RS","937624",NULL,NULL,"1","0"
"976","en_US","0","ALBERTO FILHO","ALBERTO FILHO é DEPUTADO FEDERAL do PMDB pela Unidade da Federação MA","380624",NULL,NULL,"1","0"
"976","en_US","0","ALBERTO MOURÃO","ALBERTO MOURÃO é DEPUTADO FEDERAL do PSDB pela Unidade da Federação SP","444624",NULL,NULL,"1","0"
"976","en_US","0","ALCEU MOREIRA","ALCEU MOREIRA é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RS","739624",NULL,NULL,"1","0"
"976","en_US","0","ALESSANDRO MOLON","ALESSANDRO MOLON é DEPUTADO FEDERAL do PT pela Unidade da Federação RJ","945624",NULL,NULL,"1","0"
