id,parent_id, locale, category_position, category_title, category_description, category_color, category_image, category_image_thumb, category_visible, category_trusted
"2528","976","en_US","0","ANTONIO IMBASSAHY","ANTONIO IMBASSAHY é DEPUTADO FEDERAL do PSDB pela Unidade da Federação BA","970624",NULL,NULL,"1","0"
"2529","976","en_US","0","ANTÔNIA LÚCIA","ANTÔNIA LÚCIA é DEPUTADO FEDERAL do PSC pela Unidade da Federação AC","951624",NULL,NULL,"1","0"
"2530","976","en_US","0","ANTÔNIO ANDRADE","ANTÔNIO ANDRADE é DEPUTADO FEDERAL do PMDB pela Unidade da Federação MG","560624",NULL,NULL,"1","0"
"2531","976","en_US","0","ANTÔNIO ROBERTO","ANTÔNIO ROBERTO é DEPUTADO FEDERAL do PV pela Unidade da Federação MG","677624",NULL,NULL,"1","0"
"2532","976","en_US","0","ANÍBAL GOMES","ANÍBAL GOMES é DEPUTADO FEDERAL do PMDB pela Unidade da Federação CE","475624",NULL,NULL,"1","0"
"2533","976","en_US","0","ARACELY DE PAULA","ARACELY DE PAULA é DEPUTADO FEDERAL do PR pela Unidade da Federação MG","370624",NULL,NULL,"1","0"
"2534","976","en_US","0","ARIOSTO HOLANDA","ARIOSTO HOLANDA é DEPUTADO FEDERAL do PSB pela Unidade da Federação CE","497624",NULL,NULL,"1","0"
"2535","976","en_US","0","ARLINDO CHINAGLIA","ARLINDO CHINAGLIA é DEPUTADO FEDERAL do PT pela Unidade da Federação SP","839624",NULL,NULL,"1","0"
"2536","976","en_US","0","ARMANDO VERGÍLIO","ARMANDO VERGÍLIO é DEPUTADO FEDERAL do PSD pela Unidade da Federação GO","743624",NULL,NULL,"1","0"
"2537","976","en_US","0","ARNALDO FARIA DE SÁ","ARNALDO FARIA DE SÁ é DEPUTADO FEDERAL do PTB pela Unidade da Federação SP","9f5624",NULL,NULL,"1","0"
"2538","976","en_US","0","ARNALDO JARDIM","ARNALDO JARDIM é DEPUTADO FEDERAL do PPS pela Unidade da Federação SP","215624",NULL,NULL,"1","0"
"2539","976","en_US","0","ARNALDO JORDY","ARNALDO JORDY é DEPUTADO FEDERAL do PPS pela Unidade da Federação PA","405624",NULL,NULL,"1","0"
"2540","976","en_US","0","ARNON BEZERRA","ARNON BEZERRA é DEPUTADO FEDERAL do PTB pela Unidade da Federação CE","815624",NULL,NULL,"1","0"
"2541","976","en_US","0","AROLDE DE OLIVEIRA","AROLDE DE OLIVEIRA é DEPUTADO FEDERAL do PSD pela Unidade da Federação RJ","615624",NULL,NULL,"1","0"
"2542","976","en_US","0","ARTHUR LIRA","ARTHUR LIRA é DEPUTADO FEDERAL do PP pela Unidade da Federação AL","185624",NULL,NULL,"1","0"
"2543","976","en_US","0","ARTHUR OLIVEIRA MAIA","ARTHUR OLIVEIRA MAIA é DEPUTADO FEDERAL do PMDB pela Unidade da Federação BA","280624",NULL,NULL,"1","0"
"2544","976","en_US","0","ARTUR BRUNO","ARTUR BRUNO é DEPUTADO FEDERAL do PT pela Unidade da Federação CE","176624",NULL,NULL,"1","0"
"2545","976","en_US","0","ASDRUBAL BENTES","ASDRUBAL BENTES é DEPUTADO FEDERAL do PMDB pela Unidade da Federação PA","170624",NULL,NULL,"1","0"
"2546","976","en_US","0","ASSIS CARVALHO","ASSIS CARVALHO é DEPUTADO FEDERAL do PT pela Unidade da Federação PI","789624",NULL,NULL,"1","0"
"2547","976","en_US","0","ASSIS DO COUTO","ASSIS DO COUTO é DEPUTADO FEDERAL do PT pela Unidade da Federação PR","885624",NULL,NULL,"1","0"
"2548","976","en_US","0","ASSIS MELO","ASSIS MELO é DEPUTADO FEDERAL do PC do B pela Unidade da Federação RS","192624",NULL,NULL,"1","0"
